ColumnName,MaxValue,IntegerDigits,FractionalDigits
ice_valuationreportvalue,1919051000,10,4
ice_valuationreportvalue_base,1919051000,10,4
ice_valuationreportvalue_existing,1919051000,10,4
ice_valuationreportvalue_existing_base,1919051000,10,4
ice_gsaunencumvehiclesless3_assessed_base,172939000,9,4
ice_gsaunencumvehiclesless3_assessed_existing,172939000,9,4
ice_gsaunencumvehiclesless3_assessed_existing_base,172939000,9,4
ice_liabilityamount,174999000,9,4
ice_liabilityamount_base,174999000,9,4
ice_liabilityamount_existing,174999000,9,4
ice_liabilityamount_existing_base,174999000,9,4
ice_policyamount,123456789,9,4
ice_policyamount_base,123456789,9,4
ice_policyamount_existing,123456789,9,4
ice_gsaotherassets_assessed,317369000,9,4
ice_policyamount_existing_base,123456789,9,4
ice_gsaotherassets_assessed_base,317369000,9,4
ice_priorchargeamount,300000000,9,4
ice_gsaotherassets_assessed_existing,317369000,9,4
ice_priorchargeamount_base,300000000,9,4
ice_gsaotherassets_assessed_existing_base,317369000,9,4
ice_gsaotherassets_scaled,158684500,9,4
ice_gsaotherassets_scaled_base,158684500,9,4
ice_priorityamountregistered,999999999,9,4
ice_gsaotherassets_scaled_existing,158684500,9,4
ice_priorityamountregistered_base,999999999,9,4
ice_gsaotherassets_scaled_existing_base,158684500,9,4
ice_priorityamountregistered_existing,999999999,9,4
ice_priorityamountregistered_existing_base,999999999,9,4
ice_securityamount,465000000,9,4
ice_gsadeductsalarieswages,119326250,9,4
ice_securityamount_base,465000000,9,4
ice_gsadeductsalarieswages_base,119326250,9,4
ice_securityamount_existing,465000000,9,4
ice_gsadeductsalarieswages_existing,119326250,9,4
ice_gsastocksubppsasecurityinterest,132616960,9,4
ice_securityamount_existing_base,465000000,9,4
ice_gsadeductsalarieswages_existing_base,119326250,9,4
ice_gsastocksubppsasecurityinterest_base,132616960,9,4
ice_gsadeducttotal,142847250,9,4
ice_gsadeducttotal_base,142847250,9,4
ice_gsadeducttotal_existing,142847250,9,4
ice_gsatotalacceptabledeb_assessed,239160000,9,4
ice_gsadeducttotal_existing_base,142847250,9,4
ice_gsatotalacceptabledeb_assessed_base,239160000,9,4
ice_valuationamount,899290000,9,4
ice_gsatotalacceptabledeb_assessed_existing,239160000,9,4
ice_valuationamount_base,899290000,9,4
